request_id,property_id,issue_type,status,priority,created_date,resolved_date,estimated_cost
1,251,General Repair,Resolved,Critical,2025-03-19,2025-03-31,301
2,489,HVAC,In Progress,Critical,2026-05-07,2026-05-15,1153
3,395,Security,Open,Medium,2026-01-27,2026-02-10,1128
4,448,Electrical,Closed,Medium,2025-10-15,2025-10-25,1105
5,336,Electrical,Closed,Low,2025-07-12,2025-07-20,271
6,244,Plumbing,Open,Medium,2025-08-01,2025-08-07,826
7,159,Plumbing,Resolved,Critical,2025-09-15,2025-09-26,1043
8,434,Appliance,In Progress,Critical,2025-11-10,2025-11-21,1148
9,378,Security,In Progress,Low,2025-08-02,,549
10,344,Security,In Progress,Low,2025-01-19,2025-01-27,540
11,417,Plumbing,In Progress,Critical,2025-06-08,,823
12,360,Electrical,Closed,High,2025-07-09,2025-07-11,181
13,440,Appliance,In Progress,Low,2025-01-16,,1116
14,426,Cleaning,Open,Low,2025-04-25,2025-05-02,403
15,286,Cleaning,Open,Low,2026-01-14,2026-01-26,884
16,242,Appliance,Closed,High,2025-04-21,2025-04-28,541
17,437,Electrical,Closed,Critical,2025-01-10,2025-01-11,468
18,71,Security,In Progress,Critical,2026-03-30,2026-04-02,92
19,296,Electrical,Closed,High,2025-03-11,2025-03-14,1166
20,407,Security,Open,Critical,2025-08-03,2025-08-16,824
21,249,General Repair,Resolved,Low,2025-08-07,2025-08-10,316
22,356,General Repair,Resolved,Critical,2025-01-11,2025-01-23,501
23,12,Appliance,In Progress,High,2025-04-08,2025-04-09,964
24,144,HVAC,Open,Medium,2025-06-30,2025-07-04,772
25,215,Electrical,Open,Critical,2026-04-24,2026-05-05,179
26,413,Plumbing,Resolved,Critical,2025-01-19,2025-01-24,336
27,240,Electrical,Open,High,2025-06-27,2025-06-28,102
28,337,HVAC,Open,Critical,2025-04-18,,1155
29,491,Electrical,In Progress,Low,2026-02-24,,1148
30,485,Cleaning,In Progress,Critical,2026-03-06,,538
31,321,Plumbing,Resolved,Medium,2025-09-30,2025-10-10,1116
32,393,Security,Open,Medium,2025-07-07,,135
33,36,Security,Closed,High,2026-02-08,,793
34,36,HVAC,Closed,Critical,2026-04-20,,376
35,125,Electrical,Closed,Critical,2025-10-16,2025-10-21,947
36,319,Security,Closed,High,2025-10-26,,65
37,112,HVAC,Open,High,2025-09-04,2025-09-17,146
38,360,HVAC,In Progress,Critical,2025-04-15,,881
39,179,Appliance,Closed,Low,2025-02-08,2025-02-16,790
40,449,HVAC,Closed,Medium,2026-05-29,,898
41,461,Electrical,In Progress,Low,2025-08-27,2025-09-08,738
42,355,Cleaning,In Progress,High,2026-05-12,2026-05-16,1069
43,36,Electrical,Closed,Medium,2025-06-28,,943
44,61,General Repair,Closed,Critical,2025-08-17,2025-08-18,861
45,62,General Repair,Open,Low,2026-05-03,2026-05-16,185
46,211,Security,In Progress,High,2026-01-29,2026-01-30,725
47,437,Cleaning,Closed,Medium,2025-12-15,2025-12-23,610
48,68,Security,Closed,High,2025-02-05,2025-02-13,292
49,391,Security,Open,Medium,2026-04-15,2026-04-21,868
