payment_id,tenant_id,lease_id,property_id,due_date,paid_date,amount_due,amount_paid,status,days_late
1,424,1,3,2024-09-01,2024-09-01,3422,3422,PAID,0
2,424,1,3,2024-10-01,2024-10-03,3422,3422,PAID,0
3,424,1,3,2024-11-01,2024-11-03,3422,3422,PAID,0
4,424,1,3,2024-12-01,2024-12-07,3422,3422,PAID,0
5,424,1,3,2025-01-01,2025-01-02,3422,3422,PAID,0
6,424,1,3,2025-02-01,2025-02-05,3422,3422,PAID,0
7,424,1,3,2025-03-01,,3422,0,OVERDUE,454
8,1807,2,4,2025-03-01,2025-03-01,4116,4116,PAID,0
9,1807,2,4,2025-04-01,2025-04-07,4116,4116,PAID,0
10,1807,2,4,2025-05-01,2025-05-06,4116,4116,PAID,0
11,1807,2,4,2025-06-01,2025-06-05,4116,4116,PAID,0
12,1807,2,4,2025-07-01,2025-07-01,4116,4116,PAID,0
13,1807,2,4,2025-08-01,2025-08-10,4116,2519,PARTIAL,0
14,1807,2,4,2025-09-01,,4116,0,OVERDUE,270
15,1807,2,4,2025-10-01,2025-10-12,4116,3066,PARTIAL,0
16,1807,2,4,2025-11-01,,4116,0,PENDING,209
17,1807,2,4,2025-12-01,2025-12-01,4116,4116,PAID,0
18,1807,2,4,2026-01-01,2026-01-02,4116,4116,PAID,0
19,1807,2,4,2026-02-01,2026-02-01,4116,4116,PAID,0
20,1787,3,6,2025-04-01,2025-04-04,1820,1820,PAID,0
21,1787,3,6,2025-05-01,2025-05-10,1820,995,PARTIAL,0
22,1787,3,6,2025-06-01,2025-06-04,1820,1820,PAID,0
23,1787,3,6,2025-07-01,2025-07-07,1820,1820,PAID,0
24,1787,3,6,2025-08-01,2025-08-07,1820,1820,PAID,0
25,1787,3,6,2025-09-01,2025-09-03,1820,1820,PAID,0
26,1787,3,6,2025-10-01,,1820,0,OVERDUE,240
27,1787,3,6,2025-11-01,2025-11-03,1820,1820,PAID,0
28,1787,3,6,2025-12-01,,1820,0,PENDING,179
29,1787,3,6,2026-01-01,2026-01-03,1820,1820,PAID,0
30,1787,3,6,2026-02-01,2026-02-01,1820,1820,PAID,0
31,1787,3,6,2026-03-01,2026-03-07,1820,1820,PAID,0
32,1028,4,8,2024-01-01,2024-01-07,1406,1406,PAID,0
33,1028,4,8,2024-02-01,,1406,0,OVERDUE,848
34,1028,4,8,2024-03-01,,1406,0,OVERDUE,819
35,1028,4,8,2024-04-01,,1406,0,PENDING,788
36,1028,4,8,2024-05-01,,1406,0,OVERDUE,758
37,1028,4,8,2024-06-01,,1406,0,PENDING,727
38,1028,4,8,2024-07-01,2024-07-02,1406,1406,PAID,0
39,1028,4,8,2024-08-01,,1406,0,OVERDUE,666
40,1028,4,8,2024-09-01,2024-09-08,1406,1406,PAID,0
41,1028,4,8,2024-10-01,,1406,0,OVERDUE,605
42,1028,4,8,2024-11-01,2024-11-08,1406,1406,PAID,0
43,1028,4,8,2024-12-01,2024-12-05,1406,1406,PAID,0
44,1249,5,9,2024-12-01,,3403,0,PENDING,544
45,1249,5,9,2025-01-01,2025-01-08,3403,3403,PAID,0
46,1249,5,9,2025-02-01,,3403,0,PENDING,482
47,1249,5,9,2025-03-01,2025-03-01,3403,3403,PAID,0
