lease_id,tenant_id,property_id,start_date,end_date,rent_amount,lease_status,signature_status
1,424,3,2024-09-25,2025-03-24,3422,Ended,Pending Signature
2,1807,4,2025-03-01,2026-02-24,4116,Active,Digital Signed
3,1787,6,2025-04-02,2026-03-28,1820,Active,Digital Signed
4,1028,8,2024-01-01,2024-12-26,1406,Active,Manual Signed
5,1249,9,2024-12-19,2026-06-12,3403,Expiring Soon,Digital Signed
6,1829,10,2025-08-29,2027-08-19,3652,Active,Manual Signed
7,790,14,2024-07-27,2025-01-23,3621,Active,Pending Signature
8,1379,15,2024-10-26,2025-04-24,2118,Ended,Pending Signature
9,1618,17,2025-08-01,2026-07-27,3265,Expiring Soon,Manual Signed
10,1808,20,2025-11-11,2026-11-06,3548,Expiring Soon,Pending Signature
11,1966,21,2025-08-06,2026-02-02,1258,Ended,Pending Signature
12,418,24,2024-01-20,2024-07-18,2388,Ended,Pending Signature
13,440,26,2024-06-14,2025-12-06,3502,Active,Digital Signed
14,1669,27,2024-04-25,2025-04-20,3724,Expiring Soon,Pending Signature
15,991,28,2024-05-05,2024-11-01,3043,Active,Pending Signature
16,835,29,2024-10-29,2025-10-24,1952,Active,Digital Signed
17,1844,30,2025-09-07,2027-08-28,1670,Active,Pending Signature
18,1530,31,2025-05-10,2026-05-05,2697,Active,Pending Signature
19,171,35,2025-07-26,2027-01-17,1155,Active,Digital Signed
20,1036,37,2024-11-04,2025-05-03,3815,Expiring Soon,Digital Signed
21,689,39,2024-05-09,2024-11-05,2433,Active,Pending Signature
22,1301,40,2025-09-17,2027-09-07,4023,Expiring Soon,Pending Signature
23,234,42,2024-05-20,2025-05-15,2461,Expiring Soon,Digital Signed
24,1809,43,2024-07-07,2025-07-02,1734,Active,Manual Signed
25,1293,44,2024-01-09,2025-01-03,2146,Active,Digital Signed
26,1974,46,2025-10-12,2026-10-07,2706,Expiring Soon,Digital Signed
27,1111,47,2024-09-21,2026-03-15,2795,Active,Pending Signature
28,1870,49,2025-02-02,2026-01-28,2065,Ended,Pending Signature
29,1662,50,2024-11-29,2025-11-24,4075,Ended,Digital Signed
30,1537,51,2025-09-07,2027-03-01,2130,Active,Digital Signed
31,1695,52,2024-04-08,2025-04-03,3073,Ended,Digital Signed
32,1573,53,2024-11-16,2025-05-15,1006,Expiring Soon,Digital Signed
33,825,54,2024-05-20,2025-05-15,1948,Active,Manual Signed
34,363,55,2024-12-22,2025-12-17,3354,Active,Digital Signed
35,815,58,2025-09-02,2026-03-01,3535,Active,Manual Signed
36,932,60,2024-09-12,2026-03-06,2832,Active,Manual Signed
37,215,61,2024-07-08,2025-01-04,1386,Active,Manual Signed
38,508,62,2025-04-28,2026-04-23,2393,Active,Manual Signed
39,889,65,2025-04-19,2026-10-11,2881,Active,Pending Signature
40,1131,67,2024-10-04,2026-09-24,2954,Ended,Manual Signed
41,625,68,2024-09-09,2026-08-30,1727,Active,Manual Signed
42,1977,71,2024-11-24,2025-11-19,1199,Ended,Pending Signature
43,1592,72,2024-06-24,2025-06-19,2157,Ended,Manual Signed
44,223,73,2024-11-08,2025-11-03,2483,Active,Digital Signed
45,2,75,2024-11-16,2025-05-15,1420,Expiring Soon,Digital Signed
46,1994,78,2025-05-29,2026-05-24,2110,Expiring Soon,Pending Signature
47,153,79,2025-09-21,2026-03-20,981,Expiring Soon,Digital Signed
48,389,80,2024-02-26,2025-02-20,1268,Active,Manual Signed
49,318,81,2025-10-14,2026-04-12,3362,Active,Pending Signature
50,1360,83,2025-09-05,2026-03-04,1229,Active,Pending Signature
51,1621,84,2025-04-10,2026-04-05,2524,Active,Pending Signature
52,322,85,2024-08-23,2025-08-18,1110,Active,Pending Signature
53,412,87,2024-05-24,2025-05-19,3585,Expiring Soon,Manual Signed
54,463,88,2024-10-29,2025-04-27,2161,Expiring Soon,Digital Signed
55,1469,89,2024-12-30,2026-12-20,2442,Active,Manual Signed
56,1247,90,2025-08-07,2027-01-29,2664,Active,Pending Signature
57,313,92,2024-10-23,2026-10-13,3877,Active,Digital Signed
58,204,93,2024-12-07,2025-12-02,1562,Expiring Soon,Manual Signed
59,1108,94,2025-07-01,2025-12-28,3538,Active,Digital Signed
60,1740,95,2024-05-07,2026-04-27,3028,Active,Pending Signature
61,1041,96,2024-03-26,2024-09-22,3186,Active,Digital Signed
62,1498,97,2025-10-21,2027-10-11,2220,Ended,Digital Signed
63,1989,98,2025-03-13,2025-09-09,1715,Ended,Pending Signature
64,459,99,2025-06-02,2027-05-23,3657,Active,Manual Signed
65,716,100,2024-03-10,2025-03-05,1077,Active,Pending Signature
66,1839,101,2025-07-10,2027-01-01,4075,Active,Digital Signed
67,383,105,2024-10-19,2026-10-09,2793,Expiring Soon,Digital Signed
68,945,106,2024-11-19,2025-05-18,2271,Active,Digital Signed
69,1510,107,2024-05-05,2025-10-27,1651,Active,Pending Signature
70,1229,109,2024-11-30,2025-11-25,2230,Active,Manual Signed
71,1492,110,2024-08-19,2026-02-10,2523,Ended,Digital Signed
72,1754,112,2024-04-13,2026-04-03,3929,Ended,Digital Signed
73,130,113,2024-12-30,2026-06-23,1436,Expiring Soon,Digital Signed
74,1083,115,2024-10-26,2025-10-21,1018,Expiring Soon,Pending Signature
75,977,116,2024-03-30,2025-09-21,1648,Expiring Soon,Manual Signed
76,667,117,2025-01-22,2026-01-17,2881,Ended,Pending Signature
77,1451,119,2025-08-25,2026-02-21,3721,Active,Digital Signed
78,1921,121,2024-08-02,2026-01-24,2616,Active,Manual Signed
79,1566,122,2025-09-11,2027-09-01,1098,Active,Pending Signature
80,1508,123,2025-10-06,2027-03-30,2067,Active,Pending Signature
81,1928,124,2024-02-23,2026-02-12,1305,Ended,Manual Signed
82,1435,125,2025-08-22,2026-02-18,996,Active,Digital Signed
83,41,126,2024-02-19,2026-02-08,1854,Ended,Manual Signed
84,832,127,2024-12-14,2026-06-07,2779,Active,Manual Signed
85,1952,128,2024-01-18,2026-01-07,1426,Active,Manual Signed
86,1835,129,2024-12-14,2025-12-09,962,Active,Manual Signed
87,988,130,2024-03-28,2026-03-18,2483,Ended,Pending Signature
88,1010,131,2025-11-10,2027-10-31,2687,Active,Pending Signature
89,195,133,2024-06-23,2025-06-18,1909,Expiring Soon,Pending Signature
90,1333,134,2025-06-10,2027-05-31,1142,Active,Manual Signed
91,89,135,2025-11-17,2027-11-07,2640,Expiring Soon,Manual Signed
92,866,136,2025-01-14,2026-07-08,3709,Active,Manual Signed
93,1548,137,2025-01-14,2026-07-08,1943,Active,Manual Signed
94,1289,139,2025-08-07,2026-08-02,2301,Ended,Digital Signed
95,1482,140,2025-06-14,2025-12-11,3900,Ended,Digital Signed
96,759,141,2024-07-02,2025-06-27,987,Active,Pending Signature
97,1691,144,2025-08-20,2027-02-11,1815,Ended,Manual Signed
98,1192,145,2025-11-07,2026-05-06,3259,Active,Pending Signature
99,343,146,2025-06-25,2027-06-15,2345,Active,Manual Signed
100,13,148,2025-09-15,2027-03-09,1717,Active,Pending Signature
101,1841,149,2024-01-15,2025-01-09,1944,Ended,Manual Signed
102,1914,150,2024-11-02,2025-10-28,3902,Active,Digital Signed
103,1103,152,2024-09-29,2025-09-24,4168,Expiring Soon,Pending Signature
104,1071,154,2024-06-12,2026-06-02,3823,Expiring Soon,Manual Signed
105,206,156,2024-04-17,2024-10-14,1301,Active,Manual Signed
106,1340,158,2024-08-10,2025-02-06,2570,Active,Manual Signed
107,1666,159,2025-05-29,2026-05-24,2285,Expiring Soon,Manual Signed
108,546,160,2024-04-26,2024-10-23,1297,Ended,Digital Signed
109,507,161,2025-09-16,2027-03-10,3553,Ended,Digital Signed
110,1578,162,2024-10-08,2025-10-03,2522,Ended,Digital Signed
111,154,163,2024-01-24,2026-01-13,2132,Ended,Manual Signed
112,1273,167,2024-06-19,2024-12-16,3521,Expiring Soon,Pending Signature
113,261,170,2025-08-13,2026-02-09,1975,Active,Pending Signature
114,957,171,2024-05-31,2026-05-21,3381,Expiring Soon,Pending Signature
115,1243,172,2025-08-22,2026-08-17,2175,Active,Pending Signature
116,911,173,2024-04-01,2025-03-27,1523,Ended,Manual Signed
117,1959,174,2024-01-22,2025-07-15,1791,Active,Manual Signed
118,840,175,2024-11-22,2025-11-17,999,Active,Manual Signed
119,240,176,2025-02-08,2025-08-07,1113,Active,Digital Signed
120,944,177,2025-08-12,2026-08-07,1586,Ended,Digital Signed
121,1881,178,2024-01-11,2025-01-05,1439,Ended,Digital Signed
122,1031,179,2025-08-10,2027-02-01,4109,Active,Digital Signed
123,1423,183,2025-10-23,2026-10-18,4114,Active,Digital Signed
124,227,184,2024-09-06,2026-02-28,1375,Active,Manual Signed
125,722,185,2024-03-01,2026-02-19,3328,Active,Manual Signed
126,1987,186,2024-04-13,2026-04-03,1780,Active,Digital Signed
127,1216,188,2024-10-17,2025-10-12,2606,Active,Digital Signed
128,859,190,2024-11-02,2025-10-28,3300,Expiring Soon,Digital Signed
129,1187,191,2025-02-14,2025-08-13,1956,Active,Manual Signed
130,1748,192,2025-06-27,2026-12-19,2914,Active,Pending Signature
131,1093,196,2025-02-15,2026-02-10,4121,Expiring Soon,Digital Signed
132,1318,197,2024-08-10,2025-08-05,3790,Ended,Manual Signed
133,506,201,2025-09-05,2027-02-27,3190,Ended,Digital Signed
134,1109,202,2024-08-02,2025-07-28,1342,Active,Manual Signed
135,1419,203,2024-03-02,2024-08-29,1285,Active,Manual Signed
136,613,205,2024-11-25,2026-05-19,3090,Active,Pending Signature
137,717,206,2025-10-10,2026-10-05,1634,Expiring Soon,Manual Signed
