property_id,property_name,property_type,city,address,monthly_rent,status,bedrooms,bathrooms,sqft,amenities,latitude,longitude,created_at
1,Fort Worth Residency 1,Apartment,Fort Worth,617 Elm St,1953,Available,4,2.0,1564,"Elevator, Pool, Laundry",29.811239,-98.172067,2024-01-28
2,Houston Square 2,Single Family Home,Houston,444 Main St,2789,Available,3,1.5,3063,"Gym, Laundry, Security",30.67255,-97.746402,2024-04-04
3,Irving Square 3,Apartment,Irving,470 Elm St,3422,Occupied,2,2.0,1733,"Elevator, Pool, Laundry, Parking, Balcony, Gym",32.602916,-96.335181,2024-07-15
4,Fort Worth Villas 4,Apartment,Fort Worth,463 Oak Ave,4116,Reserved,4,1.5,1835,"Pool, Laundry, Balcony, Pet Friendly",31.924896,-97.223087,2025-11-17
5,San Antonio Villas 5,Apartment,San Antonio,510 Lake Rd,3137,Available,3,1.5,1652,"Balcony, Elevator, Pet Friendly, Security, Gym, Parking",30.501668,-98.387649,2024-03-08
6,Houston Park 6,Single Family Home,Houston,697 Market Blvd,1820,Occupied,4,2.0,2694,"Gym, Balcony, Storage, Pool, Security, Elevator",31.586421,-95.885452,2025-01-05
7,Houston Lakeview 7,Villa,Houston,357 Elm St,1322,Maintenance,3,2.5,842,"Gym, Laundry, Pool, Pet Friendly",31.035668,-95.013575,2024-01-12
8,Fort Worth Residency 8,Single Family Home,Fort Worth,256 Lake Rd,1406,Occupied,2,2.0,1852,"Parking, Balcony, Gym, Elevator, Storage, Clubhouse",32.645843,-96.72318,2026-02-19
9,Austin Heights 9,Single Family Home,Austin,187 Market Blvd,3403,Occupied,3,1.0,1977,"Security, Balcony, Pet Friendly",29.902738,-95.426966,2026-04-15
10,Fort Worth Gardens 10,Single Family Home,Fort Worth,305 Lake Rd,3652,Reserved,2,1.5,2596,"Balcony, Elevator, Laundry, Pool",32.951197,-95.856572,2025-02-12
11,Plano Heights 11,Condo,Plano,334 Main St,1445,Available,3,2.5,1665,"Parking, Elevator, Pet Friendly, Balcony, Pool",29.725168,-96.022557,2024-02-02
12,Plano Heights 12,Apartment,Plano,199 Market Blvd,2090,Available,3,1.5,2638,"Storage, Clubhouse, Pet Friendly, Laundry",31.355405,-97.07529,2024-12-28
13,Irving Villas 13,Condo,Irving,573 Oak Ave,3708,Available,3,1.0,1053,"Pool, Pet Friendly, Elevator, Storage, Balcony",31.270147,-97.023414,2024-03-18
14,Arlington Park 14,Single Family Home,Arlington,160 Oak Ave,3621,Occupied,1,1.0,2864,"Pet Friendly, Gym, Laundry",31.399744,-97.751884,2025-01-23
15,Dallas Villas 15,Condo,Dallas,158 Main St,2118,Occupied,2,2.5,2382,"Gym, Pet Friendly, Balcony, Pool, Parking, Clubhouse",32.27508,-98.286648,2025-08-21
16,Arlington Residency 16,Single Family Home,Arlington,692 Elm St,1182,Available,3,1.5,2730,"Pool, Storage, Pet Friendly, Clubhouse",30.119603,-95.383994,2024-02-10
17,Fort Worth Park 17,Condo,Fort Worth,423 Main St,3265,Occupied,4,3.0,2791,"Pet Friendly, Security, Storage, Gym, Clubhouse",30.158074,-96.240747,2024-01-10
18,Arlington Lakeview 18,Single Family Home,Arlington,820 Lake Rd,1250,Available,3,1.0,2852,"Gym, Security, Pool, Clubhouse, Storage",30.697456,-96.966354,2025-09-18
19,Dallas Villas 19,Single Family Home,Dallas,308 Lake Rd,1500,Available,2,1.0,1733,"Elevator, Gym, Balcony",30.686147,-97.762796,2025-06-01
20,Arlington Gardens 20,Townhouse,Arlington,552 Elm St,3548,Occupied,1,1.0,2384,"Parking, Security, Gym",31.929897,-97.583157,2025-12-23
21,Irving Square 21,Single Family Home,Irving,981 Main St,1258,Occupied,1,1.0,1260,"Storage, Elevator, Gym, Pet Friendly, Pool",29.846401,-97.22372,2025-01-01
22,Houston Gardens 22,Villa,Houston,440 Market Blvd,2398,Maintenance,4,1.0,2943,"Storage, Gym, Pet Friendly, Laundry, Pool, Security",32.784957,-98.413248,2026-04-01
23,Houston Residency 23,Townhouse,Houston,124 Oak Ave,2516,Maintenance,2,1.0,808,"Pet Friendly, Clubhouse, Security, Gym",32.571877,-95.450369,2025-02-12
24,Plano Heights 24,Townhouse,Plano,710 Market Blvd,2388,Occupied,1,2.0,2736,"Parking, Pool, Balcony, Elevator, Clubhouse",33.06887,-97.570868,2024-12-19
25,Plano Gardens 25,Condo,Plano,836 Oak Ave,1423,Maintenance,3,3.0,2227,"Balcony, Parking, Laundry, Elevator",31.519721,-95.677212,2025-01-07
26,Irving Gardens 26,Apartment,Irving,402 Elm St,3502,Occupied,4,2.0,1935,"Balcony, Elevator, Storage",32.034125,-97.35836,2024-05-10
27,Houston Lakeview 27,Condo,Houston,770 Lake Rd,3724,Occupied,4,2.5,1362,"Laundry, Elevator, Parking, Gym, Storage",30.435639,-95.749844,2025-04-21
28,Arlington Gardens 28,Condo,Arlington,417 Oak Ave,3043,Occupied,4,1.5,2588,"Pool, Balcony, Security, Parking",32.564482,-95.871017,2026-04-05
29,Houston Park 29,Villa,Houston,349 Oak Ave,1952,Occupied,1,1.0,2596,"Clubhouse, Laundry, Pet Friendly",32.214211,-97.156075,2025-11-02
30,Dallas Lakeview 30,Apartment,Dallas,709 Lake Rd,1670,Occupied,3,1.5,2771,"Pool, Clubhouse, Gym, Laundry",31.326251,-96.641038,2026-02-12
31,Arlington Square 31,Single Family Home,Arlington,896 Elm St,2697,Occupied,4,3.0,2894,"Clubhouse, Storage, Balcony, Laundry",30.565339,-96.268185,2025-05-11
32,Houston Gardens 32,Townhouse,Houston,319 Main St,3872,Available,3,1.0,1820,"Security, Elevator, Pool, Clubhouse, Laundry",30.509415,-96.071176,2025-02-28
33,Irving Square 33,Townhouse,Irving,529 Elm St,2653,Available,3,2.5,905,"Laundry, Parking, Storage, Pet Friendly, Elevator, Gym",30.745144,-97.135047,2026-02-04
34,Houston Lakeview 34,Condo,Houston,677 Main St,2735,Available,2,2.0,2639,"Laundry, Gym, Clubhouse, Pool, Balcony",31.569433,-95.325749,2024-03-26
35,Irving Square 35,Villa,Irving,531 Lake Rd,1155,Occupied,3,1.5,1715,"Clubhouse, Security, Elevator, Laundry",32.77874,-97.526102,2024-03-24
